calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 16.000000 0.000000 0.000000 16.000000 0.000000 0.004874 0.000000 0.000000 0.000000 0.000000 
1 0.200000 7.504916 0.000000 0.026803 21.196775 0.131964 -0.000980 16.278053 0.036565 0.006532 7.504916 0.026803 0.000000 0.000000 
1 0.400000 18.008024 0.281585 0.000000 26.397087 0.121664 -0.000980 17.767532 0.105197 0.008190 10.506882 -0.026803 0.000000 0.000000 
1 0.600000 30.015889 0.281585 -0.000000 31.597400 0.109893 -0.000980 21.474889 0.203547 0.009849 12.007865 -0.000000 0.000000 0.000000 
1 0.800000 36.019822 0.281585 -0.053607 36.783171 -0.089746 0.002188 24.284465 0.262592 0.011507 6.003933 -0.053607 0.000000 0.000000 
2 0.800000 36.019822 0.281585 -0.053607 36.783171 -0.089746 0.002188 24.284465 0.262592 0.011507 0.000000 0.000000 80.000000 10.000000 
3 0.800000 35.923679 -1.772530 -0.105966 36.752079 -0.754022 -0.014744 10.092087 -0.099169 0.002286 0.000000 0.000000 0.000000 0.000000 
1 1.000000 41.893935 -2.407551 -0.213179 41.685852 -2.024787 -0.011841 9.239705 -0.085757 0.003944 6.003933 -0.107213 0.000000 0.000000 
2 1.000000 41.893935 -2.407551 -0.213179 41.685852 -2.024787 -0.011841 9.239705 -0.085757 0.003944 0.000000 0.000000 80.000000 -35.000000 
3 1.000000 41.481106 -2.542797 -0.228525 40.459415 -2.426577 -0.057432 9.108075 -0.100693 0.002249 0.000000 0.000000 0.000000 0.000000 
2 1.000000 41.481106 -2.542797 -0.228525 40.459415 -2.426577 -0.057432 9.108075 -0.100693 0.002249 0.000000 0.000000 80.000000 15.000000 
3 1.000000 42.167134 -2.163603 -0.219907 39.772616 -2.806197 -0.066061 8.898245 -0.105462 0.002141 0.000000 0.000000 0.000000 0.000000 
1 1.200000 52.420987 -4.455561 -0.246710 44.337857 -4.925455 -0.060568 7.281570 -0.083651 0.003799 10.506882 -0.026803 0.000000 0.000000 
2 1.200000 52.420987 -4.455561 -0.246710 44.337857 -4.925455 -0.060568 7.281570 -0.083651 0.003799 0.000000 0.000000 80.000000 -35.000000 
3 1.200000 52.425550 -4.455193 -0.246323 44.153789 -4.940294 -0.076186 7.280374 -0.084910 0.002474 0.000000 0.000000 0.000000 0.000000 
1 1.400000 64.070965 -7.383185 -0.246323 48.619965 -7.221548 -0.068943 5.947422 -0.056103 0.004132 12.007865 -0.000000 0.000000 0.000000 
1 1.600000 72.805026 -9.579180 -0.299929 53.028694 -9.337264 -0.057949 5.741848 -0.020552 0.005790 9.005899 -0.053607 0.000000 0.000000 
1 1.800000 78.540927 -11.353058 -0.353536 57.389771 -11.327682 -0.045913 6.317375 0.012063 0.007449 6.003933 -0.053607 0.000000 0.000000 
2 1.800000 78.540927 -11.353058 -0.353536 57.389771 -11.327682 -0.045913 6.317375 0.012063 0.007449 0.000000 0.000000 80.000000 35.000000 
3 1.800000 79.098487 -11.065812 -0.297736 56.820822 -11.620795 -0.102852 6.166367 -0.017272 0.001750 0.000000 0.000000 0.000000 0.000000 
1 2.000000 90.578042 -14.588403 -0.297736 60.870710 -14.249989 -0.096687 6.447988 0.002819 0.003408 12.007865 -0.000000 0.000000 0.000000 
2 2.000000 90.578042 -14.588403 -0.297736 60.870710 -14.249989 -0.096687 6.447988 0.002819 0.003408 0.000000 0.000000 80.000000 35.000000 
3 2.000000 90.503394 -14.515728 -0.290971 60.656813 -14.041745 -0.077301 6.245249 -0.016055 0.001651 0.000000 0.000000 0.000000 0.000000 
1 2.200000 100.568628 -17.529967 -0.317774 64.859691 -16.355371 -0.071880 6.596962 0.000427 0.003310 10.506882 -0.026803 0.000000 0.000000 
2 2.200000 100.568628 -17.529967 -0.317774 64.859691 -16.355371 -0.071880 6.596962 0.000427 0.003310 0.000000 0.000000 80.000000 -15.000000 
3 2.200000 100.577984 -17.551675 -0.321782 64.849330 -16.331333 -0.067441 6.541196 -0.009869 0.001409 0.000000 0.000000 0.000000 0.000000 
1 2.400000 110.545583 -20.874557 -0.294979 69.211258 -18.442754 -0.063139 6.924635 0.004291 0.003067 10.506882 0.026803 0.000000 0.000000 
1 2.600000 122.034808 -24.365479 -0.294979 73.568599 -20.476723 -0.052433 7.867576 0.039526 0.004725 12.007865 -0.000000 0.000000 0.000000 
1 2.800000 133.524033 -27.856400 -0.294979 78.020896 -22.198176 -0.035938 9.839060 0.093813 0.006383 12.007865 -0.000000 0.000000 0.000000 
1 3.000000 143.577105 -30.910957 -0.321782 82.532724 -23.593465 -0.014727 12.863578 0.157440 0.008042 10.506882 -0.026803 0.000000 0.000000 
1 3.200000 153.544704 -34.233839 -0.294979 87.278578 -24.460205 0.009836 17.281319 0.238282 0.009700 10.506882 0.026803 0.000000 0.000000 
2 3.200000 153.544704 -34.233839 -0.294979 87.278578 -24.460205 0.009836 17.281319 0.238282 0.009700 0.000000 0.000000 80.000000 5.000000 
3 3.200000 153.392962 -35.720777 -0.346776 87.205988 -25.171521 -0.014942 10.311070 -0.004524 0.001242 0.000000 0.000000 0.000000 0.000000 
1 3.400000 164.686039 -39.801858 -0.346776 91.704335 -26.963704 -0.009874 10.967943 0.009499 0.002900 12.007865 0.000000 0.000000 0.000000 
1 3.600000 171.744213 -42.352533 -0.266366 96.516629 -28.295541 -0.004145 11.617844 0.030496 0.004558 7.504916 0.080410 0.000000 0.000000 
1 3.800000 176.088361 -43.537833 -0.185956 101.535437 -29.216593 -0.000350 12.154785 0.050668 0.006217 4.502949 0.080410 0.000000 0.000000 
1 4.000000 181.988785 -44.647878 -0.078743 106.704627 -29.584987 0.002586 13.016197 0.087876 0.007875 6.003933 0.107213 0.000000 0.000000 
1 4.200000 186.477782 -45.002088 0.001667 111.904887 -29.565602 0.002526 13.967290 0.123336 0.009533 4.502949 0.080410 0.000000 0.000000 
1 4.400000 192.481706 -44.992081 0.108880 117.044555 -29.106366 -0.003693 15.840513 0.180233 0.011191 6.003933 0.107213 0.000000 0.000000 
1 4.600000 201.434276 -44.013457 0.162486 122.143289 -28.716489 -0.019998 20.064105 0.279694 0.012850 9.005899 0.053607 0.000000 0.000000 
2 4.600000 201.434276 -44.013457 0.162486 122.143289 -28.716489 -0.019998 20.064105 0.279694 0.012850 0.000000 0.000000 80.000000 -30.000000 
3 4.600000 198.942958 -41.786838 0.222324 105.145895 -13.525039 0.388253 6.486721 -0.085181 0.003044 0.000000 0.000000 0.000000 0.000000 
1 4.800000 209.191242 -39.470102 0.249127 108.038919 -8.188679 0.380368 5.383751 -0.054185 0.004702 10.506882 0.026803 0.000000 0.000000 
2 4.800000 209.191242 -39.470102 0.249127 108.038919 -8.188679 0.380368 5.383751 -0.054185 0.004702 0.000000 0.000000 80.000000 -30.000000 
3 4.800000 209.837918 -39.689200 0.241678 102.073840 -6.167679 0.449081 4.699026 -0.077466 0.003911 0.000000 0.000000 0.000000 0.000000 
2 4.800000 209.837918 -39.689200 0.241678 102.073840 -6.167679 0.449081 4.699026 -0.077466 0.003911 0.000000 0.000000 80.000000 20.000000 
3 4.800000 210.264084 -39.613482 0.260886 101.746221 -6.225887 0.434315 4.688684 -0.080089 0.003245 0.000000 0.000000 0.000000 0.000000 
1 5.000000 214.614662 -38.452006 0.341296 105.062137 -2.642841 0.429424 4.650029 -0.066319 0.004903 4.502949 0.080410 0.000000 0.000000 
2 5.000000 214.614662 -38.452006 0.341296 105.062137 -2.642841 0.429424 4.650029 -0.066319 0.004903 0.000000 0.000000 80.000000 15.000000 
3 5.000000 214.239871 -38.420870 0.347916 102.242578 -2.408607 0.479230 4.630570 -0.070457 0.004024 0.000000 0.000000 0.000000 0.000000 
1 5.200000 219.884079 -36.373891 0.455129 103.936496 2.357692 0.468611 4.992526 -0.048758 0.005682 6.003933 0.107213 0.000000 0.000000 
2 5.200000 219.884079 -36.373891 0.455129 103.936496 2.357692 0.468611 4.992526 -0.048758 0.005682 0.000000 0.000000 80.000000 10.000000 
3 5.200000 220.785641 -36.391708 0.446565 96.477080 2.505112 0.539474 4.989613 -0.050159 0.005009 0.000000 0.000000 0.000000 0.000000 
1 5.400000 226.200804 -33.798792 0.553778 96.882278 7.663733 0.523659 6.046226 -0.024581 0.006667 6.003933 0.107213 0.000000 0.000000 
1 5.600000 231.307412 -30.641298 0.660991 96.353092 12.639790 0.499086 7.922838 0.007017 0.008325 6.003933 0.107213 0.000000 0.000000 
1 5.800000 236.046822 -26.955488 0.768204 95.023365 17.214120 0.464354 10.649402 0.042964 0.009984 6.003933 0.107213 0.000000 0.000000 
1 6.000000 242.523502 -20.697786 0.821811 91.743134 21.967677 0.398506 14.341065 0.104184 0.011642 9.005899 0.053607 0.000000 0.000000 
2 6.000000 242.523502 -20.697786 0.821811 91.743134 21.967677 0.398506 14.341065 0.104184 0.011642 0.000000 0.000000 80.000000 25.000000 
3 6.000000 241.769919 -20.635748 0.845905 85.913923 22.447562 0.584887 14.301559 0.088840 0.005682 0.000000 0.000000 0.000000 0.000000 
1 6.200000 248.736547 -12.770593 0.819102 79.694979 28.243480 0.541270 18.644221 0.129611 0.007341 10.506882 -0.026803 0.000000 0.000000 
2 6.200000 248.736547 -12.770593 0.819102 79.694979 28.243480 0.541270 18.644221 0.129611 0.007341 0.000000 0.000000 80.000000 25.000000 
3 6.200000 248.519161 -12.695351 0.835951 79.442775 28.330773 0.560818 18.614006 0.122845 0.005826 0.000000 0.000000 0.000000 0.000000 
1 6.400000 256.570102 -3.786301 0.835951 72.250164 33.920476 0.508917 23.832253 0.169747 0.007484 12.007865 -0.000000 0.000000 0.000000 
1 6.600000 261.601941 1.781855 0.916361 68.381842 37.542542 0.464355 28.812806 0.203936 0.009142 7.504916 0.080410 0.000000 0.000000 
1 6.800000 266.170268 7.736193 0.943164 64.870897 40.577207 0.408820 34.194955 0.244227 0.010800 7.504916 0.026803 0.000000 0.000000 
2 6.800000 266.170268 7.736193 0.943164 64.870897 40.577207 0.408820 34.194955 0.244227 0.010800 0.000000 0.000000 80.000000 -25.000000 
3 6.800000 266.213469 7.844648 0.955091 64.780348 40.349882 0.383822 33.624254 0.181469 0.003899 0.000000 0.000000 0.000000 0.000000 
1 7.000000 273.148429 17.647462 0.955091 59.364523 43.419530 0.345599 39.794509 0.208510 0.005557 12.007865 0.000000 0.000000 0.000000 
2 7.000000 273.148429 17.647462 0.955091 59.364523 43.419530 0.345599 39.794509 0.208510 0.005557 0.000000 0.000000 80.000000 -25.000000 
3 7.000000 273.137480 17.652865 0.956478 59.262250 43.470002 0.358559 39.769601 0.202114 0.003915 0.000000 0.000000 0.000000 0.000000 
1 7.200000 280.058833 27.465291 0.956478 54.330296 46.152019 0.320142 46.227527 0.229212 0.005573 12.007865 -0.000000 0.000000 0.000000 
1 7.400000 286.115017 36.051163 0.983281 50.754945 48.127327 0.271402 52.688939 0.261671 0.007232 10.506882 0.026803 0.000000 0.000000 
1 7.600000 292.770911 46.045557 0.983281 47.650060 49.236614 0.199126 60.095171 0.309804 0.008890 12.007865 0.000000 0.000000 0.000000 
1 7.800000 297.762831 53.541352 0.983281 46.762098 49.974929 0.132489 67.012291 0.354182 0.010548 9.005899 0.000000 0.000000 0.000000 
1 8.000000 302.754751 61.037148 1.036888 46.688598 49.739692 0.050714 74.333899 0.402525 0.012206 9.005899 0.053607 0.000000 0.000000 
1 8.200000 306.574016 67.497564 1.117298 47.558045 48.968147 -0.031634 81.315020 0.442660 0.013865 7.504916 0.080410 0.000000 0.000000 
1 8.400000 310.519620 75.593145 1.170904 49.825162 46.646799 -0.146647 89.001648 0.491272 0.015523 9.005899 0.053607 0.000000 0.000000 
1 8.600000 312.857065 81.123385 1.224511 52.575711 45.055089 -0.234314 95.669563 0.522904 0.017181 6.003933 0.053607 0.000000 0.000000 
1 8.800000 316.423167 91.006577 1.251314 59.472962 40.050856 -0.405700 103.995116 0.579602 0.018839 10.506882 0.026803 0.000000 0.000000 
2 8.800000 316.423167 91.006577 1.251314 59.472962 40.050856 -0.405700 103.995116 0.579602 0.018839 0.000000 0.000000 80.000000 15.000000 
3 8.800000 317.874696 90.265755 1.212712 36.339180 51.857727 0.209519 97.969201 0.265610 0.002478 0.000000 0.000000 0.000000 0.000000 
1 9.000000 322.083222 101.511960 1.212712 32.578826 51.342093 0.181647 104.810271 0.276040 0.004137 12.007865 -0.000000 0.000000 0.000000 
2 9.000000 322.083222 101.511960 1.212712 32.578826 51.342093 0.181647 104.810271 0.276040 0.004137 0.000000 0.000000 80.000000 15.000000 
3 9.000000 322.091845 101.470527 1.211403 32.514764 51.649892 0.191369 103.331388 0.229333 0.002661 0.000000 0.000000 0.000000 0.000000 
1 9.200000 326.315083 112.711216 1.211403 29.192085 51.466011 0.161452 109.872961 0.240573 0.004320 12.007865 0.000000 0.000000 0.000000 
2 9.200000 326.315083 112.711216 1.211403 29.192085 51.466011 0.161452 109.872961 0.240573 0.004320 0.000000 0.000000 80.000000 -35.000000 
3 9.200000 326.192261 112.270661 1.197093 29.032407 50.893259 0.142847 107.818540 0.173839 0.002152 0.000000 0.000000 0.000000 0.000000 
1 9.400000 330.027965 122.052376 1.170290 27.260160 51.578245 0.122025 113.688718 0.182655 0.003810 10.506882 -0.026803 0.000000 0.000000 
2 9.400000 330.027965 122.052376 1.170290 27.260160 51.578245 0.122025 113.688718 0.182655 0.003810 0.000000 0.000000 80.000000 -30.000000 
3 9.400000 329.572648 120.570451 1.134727 26.972671 50.642552 0.099571 110.643310 0.109572 0.002056 0.000000 0.000000 0.000000 0.000000 
1 9.600000 332.108588 126.012530 1.241940 26.449915 51.779850 0.087886 115.733872 0.113560 0.003715 6.003933 0.107213 0.000000 0.000000 
1 9.800000 333.562863 130.274177 1.322350 26.067935 52.603041 0.071672 120.875780 0.117673 0.005373 4.502949 0.080410 0.000000 0.000000 
